,serie,martinez,lacalle,total_19_bal,fa_19,multi_19,fa,core,orsi,delgado
260,GCD,40.98360655737705,59.01639344262295,61.0,33.89830508474576,66.10169491525424,32.25806451612903,58.064516129032256,33.25806451612903,66.74193548387098
261,GCE,15.789473684210526,84.21052631578947,38.0,20.0,77.14285714285714,17.24137931034483,82.75862068965517,18.24137931034483,81.75862068965517
262,GCF,21.818181818181817,78.18181818181819,55.0,14.000000000000002,86.0,9.25925925925926,90.74074074074073,10.25925925925926,89.74074074074073
263,GDA,31.829289579333214,68.17071042066678,11458.0,20.964213841980925,77.8283314375711,25.45652766421368,72.14499863723086,26.45652766421368,73.54347233578632
264,GDB,21.830985915492956,78.16901408450704,142.0,21.830985915492956,78.16901408450704,29.310344827586203,67.24137931034483,30.310344827586203,69.6896551724138
265,GDD,27.488151658767773,72.51184834123224,211.0,14.761904761904763,84.76190476190476,27.167630057803464,72.2543352601156,28.167630057803464,71.83236994219654
266,GDE,13.861386138613863,86.13861386138613,101.0,5.376344086021505,94.6236559139785,11.881188118811881,87.12871287128714,12.881188118811881,87.11881188118812
267,GDF,57.14285714285714,42.857142857142854,14.0,23.52941176470588,76.47058823529412,42.857142857142854,57.14285714285714,43.857142857142854,56.142857142857146
268,GDG,28.985507246376812,71.01449275362319,207.0,19.230769230769234,80.76923076923077,31.32530120481928,68.27309236947792,32.32530120481928,67.67469879518072
269,GDH,41.66666666666667,58.333333333333336,312.0,34.193548387096776,63.2258064516129,30.74866310160428,67.37967914438502,31.74866310160428,68.25133689839572
270,GEA,36.6120218579235,63.387978142076506,183.0,23.4375,73.95833333333333,26.506024096385545,65.06024096385542,27.506024096385545,72.49397590361446
271,GEB,21.59090909090909,78.4090909090909,88.0,18.88888888888889,81.11111111111111,29.292929292929294,67.67676767676768,30.292929292929294,69.7070707070707
272,GEC,20.105820105820104,79.8941798941799,189.0,14.606741573033707,82.58426966292134,24.293785310734464,73.44632768361582,25.293785310734464,74.70621468926554
273,GED,41.43803216650899,58.56196783349101,2114.0,32.59013282732448,66.93548387096774,39.894636015325666,59.24329501915709,40.894636015325666,59.105363984674334
274,GEE,30.3971119133574,69.6028880866426,1385.0,22.942461762563727,76.69337217771303,26.93125442948264,72.00566973777462,27.93125442948264,72.06874557051736
275,GFA,30.34825870646766,69.65174129353234,201.0,14.563106796116504,84.95145631067962,23.394495412844037,76.14678899082568,24.394495412844037,75.60550458715596
276,GFB,40.92578986039677,59.07421013960323,2722.0,33.602941176470594,65.0735294117647,31.477927063339735,65.68138195777351,32.477927063339735,67.52207293666027
277,GFC,24.66216216216216,75.33783783783784,296.0,16.611295681063122,83.38870431893687,27.397260273972602,70.13698630136986,28.397260273972602,71.6027397260274
278,GFD,33.17307692307692,66.82692307692307,208.0,22.748815165876778,76.77725118483411,25.339366515837103,71.49321266968326,26.339366515837103,73.6606334841629
279,GFE,42.83819628647215,57.161803713527846,754.0,24.80211081794195,73.87862796833772,30.76923076923077,65.64102564102564,31.76923076923077,68.23076923076923
280,GGA,31.04972375690608,68.95027624309392,905.0,22.55225522552255,76.017601760176,30.751173708920188,67.84037558685446,31.751173708920188,68.24882629107981
281,GGB,41.73913043478261,58.26086956521739,115.0,32.45614035087719,66.66666666666667,19.393939393939394,79.3939393939394,20.393939393939394,79.60606060606061
282,GGD,18.181818181818183,81.81818181818183,253.0,13.618677042801556,85.99221789883268,12.420382165605096,84.71337579617834,13.420382165605096,86.57961783439491
283,GGE,16.52173913043478,83.47826086956522,115.0,12.612612612612612,87.38738738738739,16.0,81.0,17.0,83.0
284,GGG,0.0,100.0,10.0,0.0,100.0,0.0,100.0,1.0,99.0
285,GGH,15.0,85.0,120.0,5.128205128205128,94.01709401709402,18.69918699186992,78.86178861788618,19.69918699186992,80.30081300813008
286,GZZ,36.760482481332566,63.239517518667434,1741.0,25.10795805058606,73.47316471314005,34.292035398230084,62.24188790560473,35.292035398230084,64.70796460176992
287,HAA,28.149253731343283,71.85074626865672,6700.0,21.49267125336524,76.66766377505235,25.25429116338207,71.07438016528924,26.25429116338207,73.74570883661792
288,HAB,30.112904057328453,69.88709594267155,19397.0,20.219370860927153,78.44577814569536,27.25161718361254,69.75175540443412,28.25161718361254,71.74838281638746
289,HBA,34.643390589992535,65.35660941000747,10712.0,21.50993128118234,77.25689541560764,29.116607773851587,67.98586572438163,30.116607773851587,69.88339222614842
290,HBB,33.69025450031037,66.30974549968963,6444.0,20.137264077367025,79.03603182030885,28.898809523809522,68.83928571428571,29.898809523809522,70.10119047619048
291,HBC,23.83419689119171,76.16580310880829,386.0,15.926892950391643,82.76762402088772,22.985781990521325,73.93364928909952,23.985781990521325,76.01421800947867
292,HBD,34.36123348017621,65.63876651982379,4767.0,20.7511139401655,78.12433694037769,28.201438848920862,69.39362795477903,29.201438848920862,70.79856115107914
293,HBE,36.1013986013986,63.89860139860139,4576.0,20.417124039517017,78.41931942919868,30.861723446893784,67.2678690714763,31.861723446893784,68.13827655310621
294,HBF,35.92848904267589,64.07151095732411,3468.0,21.703853955375255,77.42683280208635,31.369785794813982,66.82638105975198,32.36978579481398,67.63021420518602
295,HBG,32.17665615141956,67.82334384858044,3487.0,17.817244342595245,81.15153251217416,29.0866632070576,68.188894654904,30.0866632070576,69.9133367929424
296,HCA,12.925170068027212,87.07482993197279,147.0,10.526315789473683,88.15789473684211,16.78832116788321,80.2919708029197,17.78832116788321,82.21167883211679
297,HCB,10.0,90.0,90.0,6.976744186046512,91.86046511627907,19.11764705882353,79.41176470588235,20.11764705882353,79.88235294117646
298,HCC,29.92891881780771,70.0710811821923,5346.0,16.750983698707138,82.14352632565111,24.55604353637579,72.67519572274202,25.55604353637579,74.4439564636242
299,HCD,13.450292397660817,86.54970760233918,171.0,5.69620253164557,94.30379746835443,12.925170068027212,85.03401360544217,13.925170068027212,86.07482993197279
300,HCE,16.296296296296298,83.7037037037037,135.0,7.518796992481203,91.72932330827068,8.799999999999999,81.6,9.799999999999999,90.2
301,HCF,15.789473684210526,84.21052631578947,380.0,8.115183246073299,91.09947643979058,14.583333333333334,82.8125,15.583333333333334,84.41666666666667
302,HCG,29.207920792079207,70.79207920792079,202.0,16.666666666666664,82.87037037037035,26.666666666666668,71.11111111111111,27.666666666666668,72.33333333333333
303,HDA,8.24742268041237,91.75257731958763,97.0,4.3478260869565215,95.65217391304347,9.210526315789473,90.78947368421052,10.210526315789473,89.78947368421052
